,code,day,open,high,low,close
0,IF1005,20100416,3450.0,3488.0,3413.2,3415.6
1,IF1005,20100419,3396.0,3398.0,3166.2,3197.4
2,IF1005,20100420,3209.2,3240.0,3168.8,3214.6
3,IF1005,20100421,3215.0,3281.2,3208.0,3267.2
4,IF1005,20100422,3260.2,3274.4,3211.0,3236.2
5,IF1005,20100423,3241.0,3266.0,3221.0,3221.2
6,IF1005,20100426,3243.0,3252.0,3211.8,3219.6
7,IF1005,20100427,3201.2,3205.0,3107.6,3138.8
8,IF1005,20100428,3101.6,3142.6,3094.2,3129.0
9,IF1005,20100429,3141.0,3157.6,3082.2,3083.8
10,IF1005,20100430,3103.0,3119.6,3043.0,3107.0
11,IF1005,20100504,3079.8,3094.4,3060.8,3076.4
12,IF1005,20100505,3046.4,3087.0,3031.0,3076.4
13,IF1005,20100506,3078.6,3083.4,2953.6,2967.4
14,IF1005,20100507,2928.0,2959.8,2862.2,2897.6
15,IF1005,20100510,2910.0,2931.0,2870.0,2918.0
16,IF1005,20100511,2949.0,2957.8,2797.2,2801.6
17,IF1005,20100512,2809.0,2855.0,2782.0,2836.2
18,IF1005,20100513,2847.8,2915.6,2823.0,2894.6
19,IF1005,20100514,2880.0,2894.8,2850.4,2862.6
20,IF1005,20100517,2840.0,2840.2,2708.0,2719.0
21,IF1005,20100518,2717.0,2808.0,2703.0,2779.0
22,IF1005,20100519,2762.2,2808.8,2722.6,2763.4
23,IF1005,20100520,2770.4,2820.0,2713.6,2735.0
24,IF1005,20100521,2694.8,2751.6,2661.0,2749.8
25,IF1006,20100524,2814.0,2933.4,2808.0,2902.0
26,IF1006,20100525,2880.0,2889.2,2811.0,2813.2
27,IF1006,20100526,2846.2,2878.8,2817.6,2839.6
28,IF1006,20100527,2825.0,2909.8,2790.0,2901.4
29,IF1006,20100528,2930.0,2942.0,2853.0,2865.2
30,IF1006,20100531,2850.0,2898.8,2786.2,2792.0
31,IF1006,20100601,2780.0,2820.6,2732.0,2762.0
32,IF1006,20100602,2758.0,2781.4,2718.2,2776.4
